webkb,None,pooledDM,lidstone,None,n=1,course,291,28,19,1058
webkb,None,pooledDM,lidstone,None,n=1,faculty,278,62,96,960
webkb,None,pooledDM,lidstone,None,n=1,project,132,58,36,1170
webkb,None,pooledDM,lidstone,None,n=1,student,473,74,71,778
webkb,None,pooledDM,dirichlet,None,alpha=0.1,course,291,28,19,1058
webkb,None,pooledDM,dirichlet,None,alpha=0.1,faculty,278,62,96,960
webkb,None,pooledDM,dirichlet,None,alpha=0.1,project,132,58,36,1170
webkb,None,pooledDM,dirichlet,None,alpha=0.1,student,473,74,71,778
webkb,None,pooledDM,dirichlet,None,alpha=0.2,course,291,28,19,1058
webkb,None,pooledDM,dirichlet,None,alpha=0.2,faculty,278,62,96,960
webkb,None,pooledDM,dirichlet,None,alpha=0.2,project,132,58,36,1170
webkb,None,pooledDM,dirichlet,None,alpha=0.2,student,473,74,71,778
webkb,None,pooledDM,dirichlet,None,alpha=0.30000000000000004,course,291,28,19,1058
webkb,None,pooledDM,dirichlet,None,alpha=0.30000000000000004,faculty,278,62,96,960
webkb,None,pooledDM,dirichlet,None,alpha=0.30000000000000004,project,132,58,36,1170
webkb,None,pooledDM,dirichlet,None,alpha=0.30000000000000004,student,473,74,71,778
webkb,None,pooledDM,dirichlet,None,alpha=0.4,course,291,28,19,1058
webkb,None,pooledDM,dirichlet,None,alpha=0.4,faculty,278,62,96,960
webkb,None,pooledDM,dirichlet,None,alpha=0.4,project,132,58,36,1170
webkb,None,pooledDM,dirichlet,None,alpha=0.4,student,473,74,71,778
webkb,None,pooledDM,dirichlet,None,alpha=0.5,course,291,28,19,1058
webkb,None,pooledDM,dirichlet,None,alpha=0.5,faculty,278,62,96,960
webkb,None,pooledDM,dirichlet,None,alpha=0.5,project,132,58,36,1170
webkb,None,pooledDM,dirichlet,None,alpha=0.5,student,473,74,71,778
webkb,None,pooledDM,dirichlet,None,alpha=0.6,course,291,28,19,1058
webkb,None,pooledDM,dirichlet,None,alpha=0.6,faculty,278,62,96,960
webkb,None,pooledDM,dirichlet,None,alpha=0.6,project,132,58,36,1170
webkb,None,pooledDM,dirichlet,None,alpha=0.6,student,473,74,71,778
webkb,None,pooledDM,dirichlet,None,alpha=0.7000000000000001,course,291,28,19,1058
webkb,None,pooledDM,dirichlet,None,alpha=0.7000000000000001,faculty,278,62,96,960
webkb,None,pooledDM,dirichlet,None,alpha=0.7000000000000001,project,132,58,36,1170
webkb,None,pooledDM,dirichlet,None,alpha=0.7000000000000001,student,473,74,71,778
webkb,None,pooledDM,dirichlet,None,alpha=0.8,course,291,28,19,1058
webkb,None,pooledDM,dirichlet,None,alpha=0.8,faculty,278,62,96,960
webkb,None,pooledDM,dirichlet,None,alpha=0.8,project,132,58,36,1170
webkb,None,pooledDM,dirichlet,None,alpha=0.8,student,473,74,71,778
webkb,None,pooledDM,dirichlet,None,alpha=0.9,course,291,28,19,1058
webkb,None,pooledDM,dirichlet,None,alpha=0.9,faculty,278,62,96,960
webkb,None,pooledDM,dirichlet,None,alpha=0.9,project,132,58,36,1170
webkb,None,pooledDM,dirichlet,None,alpha=0.9,student,473,74,71,778
webkb,None,pooledDM,jm,None,beta=0.1,course,290,28,20,1058
webkb,None,pooledDM,jm,None,beta=0.1,faculty,267,58,107,964
webkb,None,pooledDM,jm,None,beta=0.1,project,135,68,33,1160
webkb,None,pooledDM,jm,None,beta=0.1,student,472,78,72,774
webkb,None,pooledDM,jm,None,beta=0.2,course,289,30,21,1056
webkb,None,pooledDM,jm,None,beta=0.2,faculty,265,53,109,969
webkb,None,pooledDM,jm,None,beta=0.2,project,137,71,31,1157
webkb,None,pooledDM,jm,None,beta=0.2,student,473,78,71,774
webkb,None,pooledDM,jm,None,beta=0.30000000000000004,course,290,31,20,1055
webkb,None,pooledDM,jm,None,beta=0.30000000000000004,faculty,258,50,116,972
webkb,None,pooledDM,jm,None,beta=0.30000000000000004,project,139,75,29,1153
webkb,None,pooledDM,jm,None,beta=0.30000000000000004,student,475,78,69,774
webkb,None,pooledDM,jm,None,beta=0.4,course,290,32,20,1054
webkb,None,pooledDM,jm,None,beta=0.4,faculty,256,48,118,974
webkb,None,pooledDM,jm,None,beta=0.4,project,140,79,28,1149
webkb,None,pooledDM,jm,None,beta=0.4,student,474,77,70,775
webkb,None,pooledDM,jm,None,beta=0.5,course,290,33,20,1053
webkb,None,pooledDM,jm,None,beta=0.5,faculty,248,45,126,977
webkb,None,pooledDM,jm,None,beta=0.5,project,139,85,29,1143
webkb,None,pooledDM,jm,None,beta=0.5,student,476,80,68,772
webkb,None,pooledDM,jm,None,beta=0.6,course,290,34,20,1052
